Team,Mat,Won,Lost,Tied,Draw,W/L,Ave,RPO,Inns,HS,LS
Australia Women,577,389,125,6,46.0,2.747666666666667,20.266666666666666,3.9633333333333334,643,463,23
England Women,629,339,207,5,64.0,1.7613333333333332,22.453333333333333,4.053333333333334,703,569,38
India Women,464,217,210,2,27.0,0.9579999999999999,23.436666666666667,4.16,491,525,50
New Zealand Women,541,243,253,5,33.0,0.8033333333333333,23.673333333333332,4.073333333333333,564,503,26
Pakistan Women,270,62,198,4,0.0,0.323,26.545,5.43,267,455,63
South Africa Women,328,130,172,5,7.0,0.5673333333333334,27.22666666666667,4.473333333333334,332,497,36
Sri Lanka Women,287,78,200,0,0.0,0.3745,25.32,5.325,284,368,61
West Indies Women,364,149,187,9,8.0,0.6589999999999999,22.843333333333334,4.096666666666667,370,426,22
