Team,Span,Mat,Won,Lost,Tied,NR,W/L,Ave,RPO,Inns,HS,LS
Australia Women,1973-2023,334,260,66,2,6,3.939,20.4,3.58,333,298,23
England Women,1973-2023,352,194,144,2,12,1.347,23.11,3.8,348,356,41
New Zealand Women,1973-2023,345,158,181,2,4,0.872,24.13,3.8,342,347,26
India Women,1978-2022,280,143,132,1,4,1.083,22.53,3.72,279,332,50
South Africa Women,1997-2023,194,87,93,5,9,0.935,25.76,4.19,191,373,36
West Indies Women,1979-2023,199,79,109,3,8,0.724,24.27,3.95,198,318,22
Sri Lanka Women,1997-2023,174,55,114,0,5,0.482,27.56,4.11,172,368,61
Pakistan Women,1997-2023,160,34,122,1,3,0.278,30.16,4.46,159,455,63
