Team,Span,Mat,Won,Lost,Tied,NR,W/L,Ave,RPO,Inns,HS,LS
England Women,2004-2023,178,125,48,3,2,2.604,17.48,6.14,177,226,43
Australia Women,2005-2023,166,108,49,4,5,2.204,17.98,6.4,165,213,62
New Zealand Women,2004-2023,151,83,62,3,3,1.338,18.0,6.25,150,194,60
India Women,2006-2023,146,69,72,1,4,0.958,20.29,6.45,144,199,63
West Indies Women,2008-2023,153,69,75,6,3,0.92,18.78,6.13,151,212,65
South Africa Women,2007-2023,121,42,74,0,5,0.567,22.93,6.72,120,250,46
Pakistan Women,2009-2023,110,28,76,3,3,0.368,22.93,6.4,108,213,69
Sri Lanka Women,2009-2023,113,23,86,0,4,0.267,23.08,6.54,112,226,72
